NAME|TYPE|START_YEAR|END_YEAR|DESCRIPTION
Liberty Head, Motto Above Eagle|Eagle|1866|1907|Following a 34 year hiatus in production for the largest gold denomination, the Liberty Head Gold Eagle was introduced in 1838. The new ten dollar coins would feature a new design by Christian Gobrecht and a reduced weight and diameter. During the next two years, the design would be slightly modified and introduced on the two smaller gold denominations. Besides the addition of the motto on the reverse of the coin, the overall appearance would remain the same until the end of the series in 1907. For a span of nearly 70 years, the Philadelphia Mint and its branch Mints produced the Liberty Gold Eagles, creating many scarce issues and a number of true rarities.^^^^After the production of $10 gold pieces was suspended in 1804, the $5 half eagle served as the largest gold denomination and became the coin of choice for large, mostly overseas transactions. This would remain the case until the early 1830's when the price of gold had risen such that the melt value of the half eagles and quarter eagles exceeded their respective face values. Under the Coinage Act of 1834, the gold content for each denomination was reduced, which solved the issue for the half and quarter eagle, as well as cleared the way for the reintroduction of the $10 eagle denomination.^^^^The design for the Liberty Gold Eagle was created by Christian Gobrecht, the son of a German born immigrant and a talented engraver. He is also credited with the Liberty Seated design introduced on the silver denominations during the same era. For the gold coins, the head of Liberty appears, facing left. She wears a coronet inscribed LIBERTY with her hair bound in a knot with a beaded ribbon. The date appears below and thirteen stars surround. The obverse for coins of 1838 and some of 1839 feature a design known as \"Type of 1838\" differentiated by the pointed truncation of the neck, a partially covered ear, and the location of the tip of the coronet close to a star. The modified form of the design, or \"Type of 1840\", would be used until the end of the series.^^^^The reverse design depicts a bald eagle, grasping an olive branch in one talon and three arrows in the other. The eagle's wings are spread, and a large shield is placed at the chest. The inscription UNITED STATES OF AMERICA is around and the denomination expressed as TEN D. is near the bottom rim, representing the first time the face value was mentioned on the denomination. The reverse lettering was altered early in the series. For the earliest issues (1838 and 1839/8) the lettering was large, but it was reduced in size when the \"Type of 1840\" was introduced. In 1866, a scroll inscribed IN GOD WE TRUST was added above the head of the eagle. This motto had been added to the majority of denominations following the conclusion of the American Civil War. This second type for the Liberty Head Gold Eagle would be used until the conclusion of the series.^^^^In 1838 the weight and diameter of the eagle were reduced and the obverse and reverse were redesigned. Liberty now faced left and the word LIBERTY was placed on the coronet.

Indian Head|Eagle|1907|1933|The Indian Head eagle was a ten-dollar gold piece, or eagle struck by the United States Mint continuously from 1907 until 1916, and then irregularly until 1933. The obverse and the reverse, designed by the sculptor Augustus Saint-Gaudens, were originally commissioned for use on other denominations. Saint-Gaudens was suffering from cancer, and did not survive to see the coins released.^^^^Beginning in 1904, President Theodore Roosevelt proposed the introduction of new, more artistic designs on US coins, prompting the Mint to hire Saint-Gaudens to create them. Roosevelt and Saint-Gaudens at first considered a uniform design for the four denominations of US coins, which were then struck in gold, but in 1907 Roosevelt decided to use a model for the obverse of the eagle that the sculptor had meant to use for the cent. For the reverse of the ten-dollar coin the President decided on a design featuring a standing bald eagle, which had been developed for the twenty-dollar piece designed by Saint-Gaudens.^^^^The coin, as sculpted by Saint-Gaudens, was in too high relief for the Mint to strike readily; completion of the design modifications necessary to make the coin sufficiently flat to be struck by one blow of the Mint's presses took months. Following the sculptor's death on August 3, 1907, Roosevelt insisted that the new eagle be finished and struck that month. New pieces were given to the President on August 31, which differ from the coins struck later for circulation.^^^^The omission of the motto \"In God We Trust\" on the new coins caused public outrage, and prompted Congress to pass a bill mandating its inclusion. Mint Chief Engraver Charles E!! Barber added the words and made minor modifications to the design. The Indian Head eagle was struck regularly until 1916, and then intermittently until President Franklin Roosevelt directed the Mint to stop producing gold coins in 1933. Its termination ended the series of eagles struck for circulation begun in 1795. Many Indian Head eagles were melted by the government in the late 1930s; the 1933 issue is a particular rarity, as few were distributed.


Capped Bust To Right|Half Eagle|1795|1807|The largest denomination struck in coin until the mid 19th century was the gold eagle, or $10 gold coin. Established by the Mint act of 1792, it was also called the coinage act of April 2, 1792. In Section nine of the Mint act, the denomination of the largest gold coinage was specified:^^^^This weight was specified at 16 grams of pure gold or 17!!5 grams of standard gold, which added a small percentage of other metals (mostly silver with some copper) to make the metal more durable in circulation. While authorized in 1792, it would take until 1795 before the first eagles were struck, after several denominations of copper and silver coins, and the first gold coins valued at five dollars (half eagles).^^^^The first eagles were designed by Chief Engraver Robert Scot. Personally appointed by President Thomas Jefferson, Scot had taken the position in November of 1793. Born in England, he appeared in the early 1780s in Philadelphia, where he apparently worked as a watchmaker. Within a few years, he was also engraving, as several Revolutionary notes are known from his hand. Although not dated, an engraving in the book \"Freemasonry in Pennsylvania 1727-1907\", published in 1908 showed an engraving of Mason’s Arms by Robert Scot. The book notes that \"this appears to have been his earliest work in this country\".^^^^The first eagles utilizing Robert Scots design were struck in September of 1795. The first of these, a total of 1,097 $10 gold pieces were delivered on the 22nd of that month, and it is believed that these were all of the BD (Bass-Dannreuther, Early U!!S!! gold coin varieties)-1 die pair. This variety appears to be the most common die pair of this type, although collecting and classifying these by variety is a study only undertaken by the most ambitious specialists. The estimated mintage of this variety is between 2,795 and 5,583 in that reference, as early mintages are vague and unreliable. The number of pieces known ranges between 250 and 350. Compared to the other varieties, this variety appears to be the most available, with the other three 1795, 13 leaves varieties ranging from R-4+ (90-110 known) to R-5 (35 to 60 known). The latter varieties are believed to have been struck until 1796 or even 1797, as the early dies were used until they were completely unusable, often after being severely lapped and put back into usage.^^^^There are two distinctive varieties known for the 1795 eagles, which are also listed in the Red book. Besides the previously mentioned 13 leaves variety, with thirteen leaves under the eagle, each representing one of the states in 1776, there is also a 9 leaves variety. The reason for its existence is unknown, but it appears to be made intentional, with the 11 leaves varieties known for both 1796 and 1797 eagles. In any case, the 9 leaves 1795 eagles (BD-3) are very rare with approximately twenty pieces known in all grades, making it the rarest variety for the type. Most of the remaining pieces are in lower grades, but a number of uncirculated examples are known as well. These are mostly impounded in specialized collections, and every opportunity to obtain one should be considered with great care.^^^^The 13 leaves variety is much more available, and in fact the most common coin for the type. This variety is occasionally available in high grades, exhibiting semi prooflike surfaces. The finest piece has been graded by NGC as MS-66, but has not been auctioned or appeared at the public market in that grade yet. A number of MS-63 and MS-64 pieces are included in private collections and auctions with irregularity, with the majority of uncirculated pieces in the MS-60 to 62 grades. Circulated coins are available on most auctions, often cleaned and damaged, offering great opportunities for collectors on a tight budget. With its popularity as type coins, however, one should not expect to find a bargain when buying a 1795 eagle in any grade. Conscious collectors should opt to include premium-quality pieces with high eye-appeal, showing the magnificent status this large, early United States gold coinage have held for the last two centuries

Capped Bust To Left|Half Eagle|1807|1812|The early years of the United States Mint were fraught with problems: The equipment was crude, serviceable die steel was difficult to obtain, and until 1816, men and horses, not steam, supplied power to operate the machinery. But one of the most serious problems facing the new enterprise was a lack of experienced personnel, particularly in the area of design and engraving.^^^^When the Mint began operations after the Coinage Act of 1792, employing suitable officers and workmen became one of the first priorities. As early as 1790, Secretary of State Thomas Jefferson (then the Cabinet officer in charge of the Mint) had been attempting to recruit qualified artisans from European cities where minting methods were state of the art. Jefferson had attended an exhibition at the Paris Mint in 1786, where he observed the operation of an improved coining press and was quite impressed with the machine and its inventor, French engraver Jean Pierre Droz. Droz’s methods were at the cutting edge of late 18th-century technology, and Jefferson was determined to retain his services for the proposed United States Mint. After some initial correspondence in 1786-87, the matter was tabled, as Droz apparently needed immediate employment and the Mint’s opening was still several years away. In 1790, negotiations with Droz were resumed and initially he accepted Jefferson’s offer, but later he declined, citing personal reasons.^^^^As the new Mint facility in Philadelphia began to take shape, a talented engraver was still to be found. Coiners Henry Voight and Adam Eckfeldt assisted in the preparation of the first dies, but it was not until August 1793 that the artist Joseph Wright was appointed as engraver. Unfortunately, Wright died a few weeks later from yellow fever, in the annual epidemic that struck Philadelphia in the summer months. He was succeeded by Robert Scot, an English watchmaker and banknote engraver of some repute. Scot’s talents as a die engraver, however, were marginal at best. Many of his early coinage designs received widespread criticism, putting him on the defensive from the very beginning. Apparently fearing competition, he thwarted every effort by Mint Director Henry DeSaussere to engage an assistant engraver. When John Smith Gardner was finally appointed to that position at the end of 1794, he lasted only 16 months, probably due to Scot’s jealousy and harassing tactics. For years, Scot’s authority and position would go unchallenged, and his designs continued to reflect his limited skills. Probably his best work is his 1795 design for the first half eagle, with its Draped Bust portrait of Liberty and its small eagle on the reverse. The small eagle gave way to the heraldic eagle in 1798, but by the turn of the century, Scot’s failing eyesight increasingly limited his usefulness as an engraver.^^^^During this era, thousands of immigrants began to arrive on the shores of the United States, including many refugees of the Napoleonic Wars. One of these emigres was John Reich, a German engraver who sold himself into indentured servitude in return for passage to America. By 1801, his skills were renowned in Philadelphia, even to President Thomas Jefferson, who recommended to Mint Director Elias Boudinot that Reich be employed. Boudinot complied, but apparently in deference to the excessively territorial Scot, Reich was not allowed to design coins but was assigned other miscellaneous tasks.^^^^Scot was 62 in 1807 when the new mint director, Robert Patterson, implored Jefferson for permission to formally hire Reich. By this time Reich was so disgusted with doing menial tasks at the Mint and enduring Scot’s jealousy that he was ready to return to Europe. Patterson was not about to lose Reich’s services, and offered him the permanent position of assistant engraver at a salary of only $600 per year—half of the $1200 Scot received. Patterson immediately assigned Reich to revamp all the coinage designs. He began with the half dollar and half eagle, the two \"workhorses\" of commerce in that era, preferred by banks for international payments and reserves.^^^^The Capped Bust motif Reich created for the 1807 half eagle features a buxom Miss Liberty facing left, flanked by seven stars to the left and six to the right. She is wearing a cloth cap inscribed LIBERTY, with curly hair falling out from the edge of her cap down to her shoulder. Reich’s Liberty has a distinctly European look, completely different from any previous depiction. When the coins entered circulation, newspapers of the day sardonically reported that Reich’s rendition was actually modeled after \"the artist’s fat mistress.\" Although the designer’s initials were not on the coin, almost all of Reich’s obverses have a characteristic notched point on the lowest star on the right—as his \"signature.\" On the half eagles, the notch faces the coin’s border. His reverse design depicts an eagle with outstretched wings, perched on a palm branch and holding three arrows in its claws. The motto E PLURIBUS UNUM appears on a ribbon above the eagle, and the inscriptions UNITED STATES OF AMERICA and 5D!! surround the central design. One of Reich’s innovations was to place the denomination on gold and silver coins. Except for the copper coins and the 1796-97 half dollars, earlier designs had no indication of value, commonly passing by weight and fineness.^^^^The Philadelphia Mint struck only 399,013 half eagles of this type between 1807 and 1812, and many were melted in later years, suffering the same fate as most U!!S!! gold minted before 1834. Possibly 1% of the mintage survived, mostly as curiosities, along with a few examples saved by early numismatic pioneers. Although there are some very scarce varieties such as 1808/7 and the 1810 small or large dates with small 5, these are usually only of interest to the dedicated specialist. Complete date sets are within the reach of many collectors, although the design is generally collected as a \"type.\"^^^^No dates in the series are very rare, and most specimens are found in grades from Extremely Fine to About Uncirculated!! Mint State pieces are regularly available, and some gems occasionally appear—usually the 1807, 1809/8, 1810 or 1812 issues, the latter two dates surfacing in old hoards. In the past, this series was a target of counterfeiters and many dangerous pieces still exist: Any questionable specimens should be authenticated. Wear first shows on Liberty’s hair and cap, and on the eagle’s wing tips, neck and claws.^^^^In 1813, Reich eliminated the bosom and drapery of Liberty and rearranged the stars, creating the Capped Head design. He quit in disgust in 1817, never receiving a raise or promotion in ten years. His design, however, would last much longer than his tenure at the Mint, appearing on the half eagle until 1834. In 1818, Scot remodeled Reich’s Capped Head half eagle, fashioning an almost identical, but cruder rendition of the original. Scot would remain in the position of Chief Engraver until his death in 1823. 

Capped Head To Left|Half Eagle|1813|1834|Ever since the 16th-century landings of Cortez in Mexico and the Pizarro Brothers in Peru, Central and South America have been continuously drained of precious metals. After the turn of the 19th-century, enormous new discoveries of silver on both continents fueled marked increases in mining and exportation and quickly lowered the worldwide price of silver in relation to gold. Unfortunately, the bi-metallic standard adopted in the United States under the Coinage Act of 1792 established a 15:1 ratio between the metals, and by 1813, the ratio in Europe was 16:1 or more. All circulating U!!S!! gold coins became worth more than their face value in silver, and speculators and bullion dealers quickly caught on. Fifteen ounces of silver would buy one ounce of gold in the U!!S!!, but that ounce of gold would bring sixteen ounces of silver in Paris or London, and the cycle could be continued ad infinitum, or at least until U!!S!! gold coins were no longer available. And that is precisely what happened.^^^^By 1813, the half eagle was the only U!!S!! gold coin being produced. Eagle coinage ceased in 1804 and quarter eagles hadn’t been minted since 1808. What little gold found its way to the Mint usually came from banks, and bankers generally preferred their bullion coined into half eagles. Although the \"fives\" were primarily used as reserves and for international payments, eventually the vast majority found their way into the melting pot.^^^^The Capped Head half eagle series, minted from 1813 to 1834, suffered the most destruction from these melts. Made during the period when widespread melting took place, much of the mintage never saw circulation and commonly went straight from the Mint into bullion dealers’ hands. Some forty-thousand pieces of \"recent mintage\" were destroyed in a single Paris melt in 1831. The small quantities that survived the melts before 1834 were decimated by the Mint’s later recoinage of the old-tenor pieces.^^^^Making its debut in 1813, John Reich’s Capped Head design for the half eagle was copied by Chief Engraver Robert Scot in 1818 and extensively reworked by William Kneass in 1829. Reich modified his earlier Capped Bust design by eliminating the bosom and drapery of Liberty, leaving a large head as the central device, surrounded by thirteen stars with the date below. The reverse, only slightly altered from his 1807 design, depicts an eagle with widespread wings, clutching an olive branch and arrows. Surrounding the eagle are the inscriptions UNITED STATES OF AMERICA and 5 D!!, with the motto E PLURIBUS UNUM above the eagle’s head. While Scot’s 1818 revision was a crude copy of Reich’s engraving, Kneass’ 1829 modification was a distinct change. Diameters were reduced from 25 to 22!!5 millimeters, the portrait appeared in higher relief, and a beaded border replaced the denticles of the previous coin.^^^^When discussing this series, the word \"rarity\" loses its meaning. Although the Philadelphia Mint produced 1,385,612 business strikes and approximately 150 proofs over a 22 year period, there are no common dates. The 1813 is most often encountered, with many of the several hundred survivors probably saved as first-year-of-issue souvenirs. Beginning a list of rarities unique in U!!S!! coinage is the 1814, with only a few dozen pieces known. The following year produced one of numismatics’ most celebrated coins, the low-mintage 1815, until this century considered the rarest date in the series. Only 12 pieces survive.^^^^The 1818 and 1820 issues are occasionally available, with the latter date appearing more frequently. Coins of 1819 and 1821 are much more elusive. The 5D/50 variety of 1819, with only seven examples known, is rarer than the 1815 issue but has never achieved equal fame. Next is the legendary 1822 half eagle, perhaps the greatest rarity of all U!!S!! coins and one of the most famous. Only three specimens exist today, with two permanently impounded in the Smithsonian Institution. When this coin appeared at public auction in 1982, it realized a then-astounding $687,500 in the famed \"Eliasberg Sale.\"^^^^It’s believed that 40-50 examples exist dated 1823, making it one of the more \"common\" dates of this type. For 1824, only 20 or so pieces are known. In 1825, there were two overdates struck: 1825/4 Uneven Date with perhaps 25-30 examples extant; and 1825/4 Even Date, another icon of rarity: only two pieces exist. Both 1825/4 Evev Date half eagles are in private collections, with the second example unknown until 1970, when it was found in a Michigan bank vault as part of the N!!M!! Kaufman collection. Following this legendary coin are a string of elusive to impossible issues including 1826, 1827, 1828 and 1828/7, with survivors ranging from fewer than six pieces (1828/7) to as many as two to three dozen (1826). The final year of the large diameter coins, 1829, is about equal to 1828/7 in rarity, trailing only the 1822 and 1825/4 pieces.^^^^In 1829, the transition was made to striking half eagles with a close collar, essentially a steel ring with vertical grooves inside. This innovation imparted a reeded edge to the finished coin and allowed smaller, standardized diameters. The new reduced size coins debuted with another landmark rarity, the 1829, an issue with perhaps 10 survivors in existence today. Two varieties followed in 1830 and 1831, with either large or small 5D, and approximately 75 examples are known of each date. A few dozen pieces exist for each year from 1832 through 1834, but only six specimens can be traced of the 1832 variety with twelve stars, making it rarer than the more ballyhooed 1815 and 1819 coins. Seeing little circulation, the majority of surviving coins are in grades ranging from XF to mint-state. Wear on this design first begins to show on Liberty’s cap and hair, and on the eagle’s wings and claws. Counterfeits are occasionally seen, including some crude 19th-century replicas of key dates.^^^^With so many great rarities in the series, Capped Head half eagles are generally regarded as a type coin and even then are usually pursued only by advanced collectors. With the exception of Louis Eliasberg’s holdings, almost all the great collections formed of this series were completed or at least started in the 19th century, most notably those of Stickney, Jenks, Steigerwalt, Dunham and Garrett.^^^^In the summer of 1834, Congress passed legislation lowering both the weight and fineness of U!!S!! gold coins. More than a generation had passed since half eagles were seen in commerce, and the new, lighter weight Classic Head coins were readily accepted and widely circulated. Continuing melts of the old tenor pieces made Capped Head half eagles the rarest series of Federal coinage, and today even a single example is often the highlight of many collections.

Classic Head|Half Eagle|1834|1838|For the first three decades of the 19th-century, the gold half eagle and silver half dollar were the workhorses of national commerce. Ironically, few saw daylight, spending their lives nestled in darkened vaults as bank reserves or disappearing across the Atlantic as international payments. Foreign silver pieces, underweight foreign gold coins and fractional banknotes served as retail currency in daily life. U!!S!! gold coins, whose bullion value on worldwide markets exceeded their face value in silver, experienced continual melting throughout the era. Suffering the worst destruction was the one gold coin minted during the years of heaviest melting, the Capped Head half eagle of 1813-1834. Congress finally addressed this untenable situation with the Mint Act of 1834. Drastic and long-lasting changes were now in store for the nation’s gold coinage. All gold coins were reduced in weight to a point where they would circulate—for the first time since 1795.^^^^U!!S!! Mint Director Samuel Moore was eager to get the new gold coins into circulation while withdrawing the pieces of 1795-1834 remaining in public hands. Expecting huge demand for the new issue (the Mint received old-tenor fives at a value of $5!!32), Moore ordered Engraver William Kneass to prepare an entirely new design. Kneass created a tousle-haired Liberty facing left, her thick and curly locks confined by a headband inscribed LIBERTY. The date was placed below and a circle of 13 stars surrounded the handsome, youthful head. The reverse continued the raised-wing eagle of the previous issue, surrounded by the inscriptions UNITED STATES OF AMERICA and 5 D!! Congress recommended identifying the new coins by placing the date AUGUST 1, 1834 on each, but Moore preferred omitting the scroll with E PLURIBUS UNUM used since 1807.^^^^This Classic Head design is distinctly boyish, but a more attractive concept than the similar head used on John Reich’s large cents of 1808-1814 and half cents of 1809-1836. All actually resemble youthful male athletes of ancient Greece rather than a female goddess of Liberty. Kneass’ concept never seemed to fully satisfy Mint officials, and some minor but continuous changes appeared throughout the series’ run. As Kneass faded into ill health and reduced activity, Christian Gobrecht tinkered further with the design in 1836. Variety collectors will find the Classic Heads a less busy field than the first issues of United States gold. Within the series’ five years there are more than a dozen distinct varieties, including changes to Liberty’s hair, and such variations as plain or crosslet 4s on the 1834 coins.^^^^Over 2!!1 million Classic Head half eagles were struck between 1834 and 1838, nearly all at the Philadelphia Mint. In 1838, new branch mints began operations at Charlotte, North Carolina and Dahlonega, Georgia. These coins have their distinctive mint marks on the obverse over the date. Charlotte (C) placed its mint mark on 17,179 coins. The entire output of Dahlonega (D) comprised only 20,583 pieces.^^^^ The Mint’s purpose was to return gold to daily circulation, and in this Director Moore enjoyed great success. The withdrawal of older coins was amazingly successful, with an estimated $8,000,000 in pre-1834 gold marching to the smelter for rebirth as Classic Head coinage. The new coins were of the same size and weight as the later Coronet Head coins designed by Christian Gobrecht, so they remained in circulation for many decades after their release.^^^^The severely limited mintages of Charlotte and Dahlonega have always attracted collectors, especially after publication of Augustus C!! Heaton’s 1893 treatise on collecting by mintmarks. Although Philadelphia half eagles were struck and circulated in adequate numbers, mint state examples of any date are highly elusive to very rare. Well-worn examples in the Fine to Very Fine range are generally available, though these often bear severe contact marks in addition to wear from circulation. Wear first appears on Liberty’s hair, particularly over her eye, and on her cheek. On the reverse, check the eagle’s wings and head.^^^^Few if any hoards of high grade have been found. Although the great Louis C!! Eliasberg collection contained 11 Classic Heads, only 1834 and 1835 were Uncirculated, and one of his 1834 Plain 4 coins was cataloged Proof-60. The remaining examples went from Choice About Uncirculated down to XF-45. Gem examples of Philadelphia issues do exist, but only 1834 Plain 4, and to a lesser extent, 1836, are seen with any frequency. The \"key\" date of the series is 1838-C, difficult to find in any grade and equal in rarity to many pre-1834 issues. Even more elusive is the scarcest variety of the series, the 1834 Crosslet 4—trailed closely by the 1838 Dahlonega coin, another \"stopper\" in mint state. A minuscule number of proofs exist of the Philadelphia dates, perhaps as many as 12 examples for 1834, three of 1835, two of 1836, and one each of 1837 and 1838 (the 1837 specimen is in the Smithsonian). Such coins are extremely rare and have appeared only in one or two of the great \"name\" auctions in recent years.^^^^The generally dismal grades so frequently encountered may prejudice collectors against this series, but all pre-Gold Rush coinage is usually found in similar condition. A collector taking the opportunity to view a high-grade example objectively, however, will discover that the Kneass design is really a bold example of America’s primitive neoclassical art. By 1838 this vintage design would yield to the wave of highly stereotyped motifs, such as Gobrecht’s Coronet, that improved the coins’ mechanical qualities but eliminated much of the life and vibrancy found in the earlier issues.^^^^The Classic Head coins circulated during times of significant economic disturbance. In the early 1830’s the country enjoyed a wild ride, including intense speculation in western lands and a fungus-like growth of totally unregulated and frequently shaky private banks. More destructive to the economy was the vast expansion of often unsecured paper money issued by the same banks. The Federal government’s major financial preoccupation was not a deficit but the huge surpluses piling up in each year of apparent prosperity. Trying to regulate runaway land speculation, President Andrew Jackson’s Specie Circular of July 1837 decreed that only gold or silver coins would be accepted for purchases of public lands.^^^^A business panic beginning in England in March of 1837 rapidly spread to the United States, and the last years of Classic Head coinage saw the disastrous depression known as the \"Hard Times.\" While hard money advocates such as Missouri Senator Thomas Hart Benton argued the pros and cons of Jacksonian monetary policies, hundreds of thousands of Americans starved in the winter of 1837-38. To them, a $5 gold piece would have represented breathtaking wealth in times that saw 90% of American factories idle. To these Americans, copper \"Hard Times\" tokens were far more familiar than gold coins of any denomination

